15:43:06: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 48] Logger initialized
15:43:06: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 0.0, 4.0
15:43:06: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 0.0, 1.0
15:43:07: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 0.0, 0.6666666666666666
15:43:07: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 0.0, 0.5
15:43:08: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 0.0, 0.4
15:43:08: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 0.0, 0.3333333333333333
15:43:09: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 0.0, 0.2857142857142857
15:43:09: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 2.5, 0.25
15:43:10: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 4.444444444444445, 0.2222222222222222
15:43:10: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 6.0, 0.2
15:43:11: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 1.8181818181818181, 5.454545454545454, 0.18181818181818182
15:43:11: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 3.3333333333333335, 5.0, 0.16666666666666666
15:43:12: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 4.615384615384615, 4.615384615384615, 0.15384615384615385
15:43:12: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 4.285714285714286, 2.857142857142857, 0.14285714285714285
15:43:13: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 4.0, 1.3333333333333333, 0.13333333333333333
15:43:13: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 3.75, 0.0, 0.125
15:43:14: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 2.3529411764705883, 0.0, 0.11764705882352941
15:43:14: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 1.1111111111111112, 0.0, 0.1111111111111111
15:43:15: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 0.0, 0.10526315789473684
15:43:15: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 1.0, 0.1
15:43:16: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 1.9047619047619047, 0.09523809523809523
15:43:16: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.0, 2.727272727272727, 0.09090909090909091
15:43:17: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 0.8695652173913043, 2.608695652173913, 0.08695652173913043
15:43:17: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 1.6666666666666667, 2.5, 0.08333333333333333
15:43:18: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 2.4, 2.4, 0.08
15:43:18: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 2.3076923076923075, 1.5384615384615385, 0.07692307692307693
15:43:19: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 2.2222222222222223, 0.7407407407407407, 0.07407407407407407
15:43:20: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] Current Velocity: 2.142857142857143, 0.0, 0.07142857142857142
